treatment,plant,leaf,inquiline,date,count,
a1,1,1,Blaesoxipha,19990615,0,
a1,1,1,Habrotrocha,19990615,1,
a1,1,1,headcap,19990615,0,
a1,1,1,Metriocnemus,19990615,0,
a1,1,1,other,19990615,,
a1,1,1,rotvol ml,19990615,0.5,
a1,1,1,Sarraceniopus,19990615,0,
a1,1,1,volume ml,19990615,1,
a1,1,1,Wyeomyia,19990615,0,
a2,2,1,Blaesoxipha,19990615,,
a2,2,1,Habrotrocha,19990615,,
a2,2,1,headcap,19990615,,
a2,2,1,Metriocnemus,19990615,,
a2,2,1,other,19990615,,
a2,2,1,rotvol ml,19990615,,
a2,2,1,Sarraceniopus,19990615,,
a2,2,1,volume ml,19990615,,
a2,2,1,Wyeomyia,19990615,,
a3,3,1,Blaesoxipha,19990615,,
a3,3,1,Habrotrocha,19990615,,
a3,3,1,headcap,19990615,,
a3,3,1,Metriocnemus,19990615,,
a3,3,1,other,19990615,,
a3,3,1,rotvol ml,19990615,,
a3,3,1,Sarraceniopus,19990615,,
a3,3,1,volume ml,19990615,,
a3,3,1,Wyeomyia,19990615,,
a4,4,1,Blaesoxipha,19990615,1,
a4,4,1,Habrotrocha,19990615,0,
a4,4,1,headcap,19990615,0,
a4,4,1,Metriocnemus,19990615,1,
a4,4,1,other,19990615,0,
a4,4,1,rotvol ml,19990615,0.5,
a4,4,1,Sarraceniopus,19990615,1,
a4,4,1,volume ml,19990615,3,
a1,4,1,volume ml,19990615,,
a4,4,1,Wyeomyia,19990615,0,
a4,4,2,Blaesoxipha,19990615,,
a4,4,2,Habrotrocha,19990615,,
a4,4,2,headcap,19990615,,
a4,4,2,Metriocnemus,19990615,,
a4,4,2,other,19990615,,
a4,4,2,rotvol ml,19990615,,
a4,4,2,Sarraceniopus,19990615,,
a4,4,2,volume ml,19990615,,
a4,4,2,Wyeomyia,19990615,,
a4,4,3,Blaesoxipha,19990615,,
a4,4,3,Habrotrocha,19990615,,
a4,4,3,headcap,19990615,,
a4,4,3,Metriocnemus,19990615,,
a4,4,3,other,19990615,,
a4,4,3,rotvol ml,19990615,,
a4,4,3,Sarraceniopus,19990615,,
a4,4,3,Wyeomyia,19990615,,
a1,5,1,Blaesoxipha,19990615,0,
a1,5,1,Habrotrocha,19990615,0,
a1,5,1,headcap,19990615,1,
a1,5,1,Metriocnemus,19990615,0,
a1,5,1,other,19990615,0,
a1,5,1,rotvol ml,19990615,0.5,
a1,5,1,Sarraceniopus,19990615,1,
a1,5,1,volume ml,19990615,3,
a1,5,1,Wyeomyia,19990615,0,
a2,6,1,Blaesoxipha,19990615,,
a2,6,1,Habrotrocha,19990615,,
a2,6,1,headcap,19990615,,
a2,6,1,Metriocnemus,19990615,,
a2,6,1,other,19990615,,
a2,6,1,rotvol ml,19990615,,
a2,6,1,Sarraceniopus,19990615,,
a2,6,1,volume ml,19990615,,
a2,6,1,Wyeomyia,19990615,,
a3,7,1,Blaesoxipha,19990615,,
a3,7,1,Habrotrocha,19990615,,
a3,7,1,headcap,19990615,,
a3,7,1,Metriocnemus,19990615,,
a3,7,1,other,19990615,,
a3,7,1,rot,19990615,,
a3,7,1,Sarraceniopus,19990615,,
a3,7,1,volume ml,19990615,,
a3,7,1,Wyeomyia,19990615,,
a4,8,1,Blaesoxipha,19990615,0,
a4,8,1,Habrotrocha,19990615,0,
a4,8,1,headcap,19990615,0,
a4,8,1,Metriocnemus,19990615,0,
a4,8,1,other,19990615,0,
a4,8,1,rotvol ml,19990615,0.5,
a4,8,1,Sarraceniopus,19990615,0,
a4,8,1,volume ml,19990615,1.4,
a4,8,1,Wyeomyia,19990615,0,
a4,8,2,Blaesoxipha,19990615,,
a4,8,2,Habrotrocha,19990615,,
a4,8,2,headcap,19990615,,
a4,8,2,Metriocnemus,19990615,,
a4,8,2,other,19990615,,
a4,8,2,rotvol ml,19990615,,
a4,8,2,Sarraceniopus,19990615,,
a4,8,2,volume ml,19990615,,
a4,8,2,Wyeomyia,19990615,,
a4,8,3,Blaesoxipha,19990615,,
a4,8,3,Habrotrocha,19990615,,
a4,8,3,headcap,19990615,,
a4,8,3,Metriocnemus,19990615,,
a4,8,3,other,19990615,,
a4,8,3,rotvol ml,19990615,,
a4,8,3,Sarraceniopus,19990615,,
a4,8,3,volume ml,19990615,,
a4,8,3,Wyeomyia,19990615,,
a4,8,4,Blaesoxipha,19990615,,
a4,8,4,Habrotrocha,19990615,,
a4,8,4,headcap,19990615,,
a4,8,4,Metriocnemus,19990615,,
a4,8,4,other,19990615,,
a4,8,4,rotvol ml,19990615,,
a4,8,4,Sarraceniopus,19990615,,
a4,8,4,volume ml,19990615,,
a4,8,4,Wyeomyia,19990615,,
a1,9,1,Blaesoxipha,19990615,1,
a1,9,1,Habrotrocha,19990615,0,
a1,9,1,headcap,19990615,0,
a1,9,1,Metriocnemus,19990615,0,
a1,9,1,other,19990615,0,
a1,9,1,rotvol ml,19990615,0.5,
a1,9,1,Sarraceniopus,19990615,0,
a1,9,1,volume ml,19990615,0.5,
a1,9,1,Wyeomyia,19990615,0,
a2,10,1,Blaesoxipha,19990615,,
a2,10,1,Habrotrocha,19990615,,
a2,10,1,headcap,19990615,,
a2,10,1,Metriocnemus,19990615,,
a2,10,1,other,19990615,,
a2,10,1,rotvol ml,19990615,,
a2,10,1,Sarraceniopus,19990615,,
a2,10,1,volume ml,19990615,,
a2,10,1,Wyeomyia,19990615,,
a3,11,1,Blaesoxipha,19990615,,
a3,11,1,Habrotrocha,19990615,,
a3,11,1,headcap,19990615,,
a3,11,1,Metriocnemus,19990615,,
a3,11,1,other,19990615,,
a3,11,1,rotvol ml,19990615,,
a3,11,1,Sarraceniopus,19990615,,
a3,11,1,volume ml,19990615,,
a3,11,1,Wyeomyia,19990615,,
a4,12,1,Blaesoxipha,19990615,0,
a4,12,1,Habrotrocha,19990615,0,
a4,12,1,headcap,19990615,0,
a4,12,1,Metriocnemus,19990615,0,
a4,12,1,other,19990615,0,
a4,12,1,rotvol ml,19990615,0.5,
a4,12,1,Sarraceniopus,19990615,0,
a4,12,1,volume ml,19990615,2,
a4,12,1,Wyeomyia,19990615,0,
a4,12,2,Blaesoxipha,19990615,,
a4,12,2,Habrotrocha,19990615,,
a4,12,2,headcap,19990615,,
a4,12,2,Metriocnemus,19990615,,
a4,12,2,other,19990615,,
a4,12,2,rotvol ml,19990615,,
a4,12,2,Sarraceniopus,19990615,,
a4,12,2,volume ml,19990615,,
a4,12,2,Wyeomyia,19990615,,
a4,12,3,Blaesoxipha,19990615,,
a4,12,3,Habrotrocha,19990615,,
a4,12,3,headcap,19990615,,
a4,12,3,Metriocnemus,19990615,,
a4,12,3,other,19990615,,
a4,12,3,rotvol ml,19990615,,
a4,12,3,Sarraceniopus,19990615,,
a4,12,3,volume ml,19990615,,
a4,12,3,Wyeomyia,19990615,,
a1,13,1,Blaesoxipha,19990615,0,
a1,13,1,Habrotrocha,19990615,0,
a1,13,1,headcap,19990615,0,
a1,13,1,Metriocnemus,19990615,0,
