treatment,plant,leaf,inquiline,date,count,,,,,,,,,,,,,,
a1,1,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,1,1,Metriocnemus,19990615,2,,,,,,,,,,,,,,
a1,1,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,1,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,1,1,Habrotrochacha,19990615,0,,,,,,,,,,,,,,
a1,1,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,1,1,headcap,19990615,0,,,,,,,,,,,,,,
a1,1,1,other,19990615,0,,,,,,,,,,,,,,
a1,1,1,volume ml,19990615,3.5,,,,,,,,,,,,,,
a1,2,1,Wyeomyia,19990615,1,,,,,,,,,,,,,,
a1,2,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,2,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,2,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,2,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,2,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,2,1,headcap,19990615,4,,,,,,,,,,,,,,
a1,2,1,other,19990615,0,,,,,,,,,,,,,,
a1,2,1,volume ml,19990615,3.5,,,,,,,,,,,,,,
a1,3,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,3,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,3,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,3,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,3,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,3,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,3,1,headcap,19990615,0,,,,,,,,,,,,,,
a1,3,1,other,19990615,0,,,,,,,,,,,,,,
a1,3,1,volume ml,19990615,0.75,,,,,,,,,,,,,,
a1,4,1,Wyeomyia,19990615,1,,,,,,,,,,,,,,
a1,4,1,Metriocnemus,19990615,0,,,,,,,,,,,,,,
a1,4,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
a1,4,1,Sarraceniopus,19990615,0,,,,,,,,,,,,,,
a1,4,1,Habrotrocha,19990615,0,,,,,,,,,,,,,,
a1,4,1,rotvol ml,19990615,1,,,,,,,,,,,,,,
a1,4,1,headcap,19990615,6,,,,,,,,,,,,,,
a1,4,1,other,19990615,0,,,,,,,,,,,,,,
a1,4,1,volume ml,19990615,5,,,,,,,,,,,,,,
a1,5,1,Wyeomyia,19990615,0,,,,,,,,,,,,,,
a1,5,1,Metriocnemus,19990615,1,,,,,,,,,,,,,,
a1,5,1,Blaesoxipha,19990615,0,,,,,,,,,,,,,,
